"route","animal","species","type","frequency","project","recv1","recv2","lon1","lat1","lon2","lat2","dtStart","dtEnd"
"2580.3457","4495,9245","16820,4670","LineString","166.38","86,88",2580,3457,-71.5589,41.2136,-74.717861,39.091875,2015-10-23,2015-11-26
"2580.3462","2246","3580","LineString","166.38","45",2580,3462,-71.5589,41.2136,-70.8152,41.2613,2015-10-06,2015-10-07
"2580.3467","2235,2255,2235,229","3580,3580,3580,16620","LineString","166.38","45,83",2580,3467,-71.5589,41.2136,-71.8692,41.0591,2015-10-05,2015-11-03
"2580.3468","4462,5404,1137","16820,18950,4630","LineString","166.38","29,47,86",3468,2580,-72.163,41.1894,-71.5589,41.2136,2015-06-02,2015-10-25
"2580.3577","2244,2255,2248,202,2248,9217,5427,2262,2248,9217,2248,2248,2248,202,2248,2248,2248,236,2248,247,247,247,247,247,247","3580,3580,3580,16620,3580,4670,18950,3580,3580,4670,3580,3580,3580,16620,3580,3580,3580,16620,3580,16620,16620,16620,16620,16620,16620","LineString","166.38","29,45,83,88",2580,3577,-71.5589,41.2136,-71.552704,41.1532,2015-10-03,2015-11-28
"2580.3616","2235,1106,225,9233","3580,4630,16620,4670","LineString","166.38","45,47,83,88",3616,2580,-69.9849,41.6197,-71.5589,41.2136,2015-09-29,2015-10-22
"2580.3618","5458,2261,1229,5404,2248,5453","18950,3580,4670,18950,3580,18950","LineString","166.38","29,45,47",2580,3618,-71.5589,41.2136,-71.5762,41.3734,2015-08-11,2015-11-16
"2580.3779","5651,5622,5601","18890,18890,18890","LineString","166.38","22",3779,2580,-70.5492,43.3351,-71.5589,41.2136,2015-11-03,2015-11-17
"2580.4044","1233,1227","4670,4670","LineString","166.38","47",4044,2580,-76.6069,44.2176,-71.5589,41.2136,2015-05-25,2015-11-10
"2580.4186","1189,5641,5406,5605","4670,18890,18950,18890","LineString","166.38","22,29,47",4186,2580,-70.8084,42.7804,-71.5589,41.2136,2015-08-12,2015-11-15
"2580.4518","5437,1102,2250","18950,4630,3580","LineString","166.38","29,45,47",2580,4518,-71.5589,41.2136,-71.8838,41.3063,2015-06-27,2015-10-23
"2580.4521","2578,5425,58,5444,5435,5449,5458,5458,5461,5450,2232,7751","15580,18950,16930,18950,18950,18950,18950,18950,18950,18950,3580,4980","LineString","166.38","29,45,49,74,82",2580,4521,-71.5589,41.2136,-71.2438,41.4787,2015-09-22,2015-11-21
"2580.4974","5427,5602,5609","18950,18890,18890","LineString","166.38","22,29",4974,2580,-70.8134,41.2531,-71.5589,41.2136,2015-10-22,2015-11-18
"2580.5988","1196","4670","LineString","166.38","47",5988,2580,-76.8617,43.9398,-71.5589,41.2136,2015-05-28,2015-10-26
"2588.2645","2725,2725","5580,5580","LineString","166.38","7",2645,2588,-68.854872,43.783531,-68.1283,43.96893,2015-06-20,2015-06-27
"2588.2646","1169","4670","LineString","166.38","47",2646,2588,-68.883583,43.877716,-68.1283,43.96893,2015-08-07,2015-08-07
"2588.2647","2723,2723,2720,2729,4423","5580,5580,5580,5580,16620","LineString","166.38","7,87",2647,2588,-68.733284,43.889304,-68.1283,43.96893,2015-07-31,2015-10-05
"2588.2669","4469,4423","16820,16620","LineString","166.38","86,87",2669,2588,-66.0124,43.4001,-68.1283,43.96893,2015-09-29,2015-10-05
"2588.2694","4410","16820","LineString","166.38","86",2694,2588,-66.15264,43.98589,-68.1283,43.96893,2015-09-07,2015-09-09
"2588.5898","4410","16820","LineString","166.38","86",2588,5898,-68.1283,43.96893,-64.2821,45.8507,2015-09-09,2015-09-14
"2590.2590","1412,1412,1412","4180,4180,4180","LineString","166.38","67",2590,2590,-74.810041,39.02827,-74.810041,39.02827,2015-08-05,2015-08-21
"2590.3457","1408","4180","LineString","166.38","67",3457,2590,-74.717861,39.091875,-74.810041,39.02827,2015-08-01,2015-08-01
"2592.2592","1888","4690","LineString","166.38","59",2592,2592,-75.014667,39.234365,-75.014667,39.234365,2015-07-18,2015-08-04
"2592.3158","2233","3580","LineString","166.38","45",2592,3158,-75.014667,39.234365,-63.9094,50.1911,2015-09-25,2016-08-22
"2592.3467","2233","3580","LineString","166.38","45",3467,2592,-71.8692,41.0591,-75.014667,39.234365,2015-09-23,2015-09-25
"2592.3577","2253","3580","LineString","166.38","45",3577,2592,-71.552704,41.1532,-75.014667,39.234365,2015-10-07,2015-10-08
"2592.3842","4396","16620","LineString","166.38","87",3842,2592,-70.5817,43.2819,-75.014667,39.234365,2015-10-31,2015-11-15
"2593.2593","1893,1893,1893","4690,4690,4690","LineString","166.38","59",2593,2593,-74.3731,39.4199,-74.3731,39.4199,2015-07-15,2015-07-24
"2593.2763","1943","4690","LineString","166.38","25",2593,2763,-74.3731,39.4199,-86.2942,38.2289,2015-08-26,2015-09-20
"2593.3456","1880,1892","4690,4690","LineString","166.38","59",3456,2593,-74.3228,39.5097,-74.3731,39.4199,2015-07-22,2015-08-06
