"id","dtCreated","name","shortName","shortDescription","fee_id"
137,2017-03-09,"Abiotic and biotic influences on Snowfinch","Snowfinch","Abiotic and Biotic Influences on Spatio-temporal Population Dynamics in Alpine Environmental Conditions: the snowfinches as a case study",NA
138,2017-03-16,"Montreal tag sensitivity","MONTREAL_TAG_SENS","To be entered by PI",NA
139,2017-03-20,"Barbados","BARBADOS","Two towers deployed to monitor the migration of shorebirds",NA
140,2017-03-23,"SCDNR Shorebirds","SCDNR","",1
141,2017-03-24,"BDs_201704","BDs_201704","Essais tag Biotrack NTQB-2 avec antenne 7 éléments 150.100 13dB de ma fabrication et SensorGnome",NA
142,2017-03-24,"Effects of mercury on ovenbird migration","OVEN_Hg","Autumn migration speed and success of ovenbirds that are dosed with mercury throughout their breeding season in Connecticut",NA
143,2017-03-27,"Clapper Rail Survival in CT","CLRA_CT","Project to assess annual survival rates and migration pathways and stopovers of northern breeding clapper rails.",NA
145,2017-04-04,"Kirtland's Warbler Tracking, Bahamas - Michigan","KIWA_BAH_MI","Studying a population of endangered Kirtland's Warblers to determine the influence of winter conditions on migration departure date.",1
146,2017-04-07,"Neonicotinoid insecticides and migratory birds","NEONICS","Tracking the effects of neonicotinoid insecticides on migratory birds",NA
147,2017-04-10,"Southern Great Plains Snowy Plover","SNPL","Monitoring population connectivity of Snowy Plovers (Charadrius nivosus nivosus) on the Southern Great Plains of Texas, New Mexico and Oklahoma",1
148,2017-04-10,"Indiana","Indiana","",NA
149,2017-04-11,"Belize","Belize","",NA
150,2017-04-25,"Coastal Georgia Array","COAST_GEORG_ARRAY","To be entered by PI",2
151,2017-05-02,"Fort Indiantown Gap Bats","INDIANTOWN_BATS","The project is a small (6 receiver stations) grid setup on the ridges and valleys of the installation out near the east and west boundaries.",NA
152,2017-05-02,"New York Lake Plains Motus","NY_LAKE_PLAINS","Monitoring migratory birds and bats at important stop-over sites in the Lake Plains Region of Western and Central New York. ",1
153,2017-05-03,"Tulane_SESA_NGOM","SESA_STOPOVER","Investigating the stopover ecology of semipalmated sandpipers during spring migration along the northern Gulf of Mexico.",1
154,2017-05-05,"Ontario Pigeons","ON_ROPI","Test the Motus system using homing pigeons double-tagged with GPS and nanotags.",NA
155,2017-05-09,"Johnson - SE Florida Coast","FL_East_Boca","Small antenna mounted on house using rtl-sdr radio",NA
156,2017-05-11,"Black Tern movements - breeding/migration","BLTE","Tracking movements of Black Terns during breeding, staging and southward migration",3
157,2017-05-24,"Bioenergetics of WNS in western bat species","WNS_BATS","Assessing the bionergetic effects of white-nose syndrome in western bat species.",NA
158,2017-05-30,"Eastern Ontario Grasshopper Sparrow","GRSP_E_ON","Tracking movement and migration patterns of Grasshopper Sparrows in southern Ontario",3
159,2017-06-12,"Local and migration movements of Canada Warbler","CAWA","",NA
160,2017-06-12,"Myotis movements in eastern Québec","MYOTIS_E_QC","This project aims to document the migratory movements of two Myotis species (M. lucifugus and M. septentrionalis) during fall migration.",3
161,2017-06-12,"Migration connectivity of the Rusty Blackbird ","RUBL_CONNECTIVITY","",3
162,2017-06-13,"Western MA Tree Swallows","TRES_W_MA","To be entered by PI",NA
163,2017-06-14,"Norris - MOBU Neonic 2017","MOBU_NEONIC_2017","We will be investigating the effect of a neonicotinoid pesticide on monarch butterfly orientation and migration",NA
164,2017-07-04,"Tracking post-breeding movements of Purple Martins","PUMA_POST_BREED","To be entered by PI",NA
165,2017-07-06,"Michigan motus array","MI_ARRAY"," Michigan receiver array for migration monitoring",1
166,2017-07-12,"Ft. De Soto","FT_DE_SOTO","Expanding the Motus network along the Gulf of Mexico in Florida for shore and seabirds.  ",2
167,2017-07-19,"Virginia Eastern Red Bats","VI_ERB","Fall and spring coastal movement patterns of eastern red bats (Lasiurus borealis) along the mid-Atlantic coast.",1
168,2017-07-28,"Montreal moult migrant research","MONTREAL_MOULT","Monitoring fall moult migration and movements of Swainson's Thrush and Tennessee Warblers in the greater Montreal area",1
169,2017-07-31,"Species at Risk Research on the Carden Alvar","CARDEN_SAR","To be entered by PI",NA
170,2017-08-29,"Comparative physiology of Migratory songbirds","Snell","Stopover behaviour, migratory decisions, and orientation cue studies in Europe",NA
171,2017-09-12,"Richardson's Merlin in Winnipeg","MB_MERL","Comparative analysis of habitat characteristics, nest density and survivability of Richardson’s Merlin (Falco columbarius richardsonii) in Winnipeg",NA
172,2017-09-14,"Sora Migration","SORA","Study of Sora Rail migration based out of Patuxent River Park - Jug Bay Natural Area",1
173,2017-10-10,"Maggini - Ventotene","Italian Islands","This is a new version of project #135",NA
174,2017-11-15,"Bahia Lomas Shorebirds","BahiaLomas","Over winter shorebird ecology of Bahia Lomas, Chile with a particular focus on the Red Knot and Hudsonian Godwit.",9
175,2017-11-16,"Columbus Zoo","ColumbusZoo","Migratory bird tag tracking from the Columbus Zoo",NA
176,2017-11-23,"Sample Data","SampleData","Project containing sample data for use with the Motus R Book",NA
177,2017-11-24,"Biologic Motus","BioMotus","Motus array in Western Australia",1
178,2017-11-27,"Toronto Zoo","TorontoZoo","Outreach for Motus program at the Toronto Zoo",NA
179,2018-01-03,"Post breeding dispersal of Eurasian Starlings","RSPB_EUST","",NA
180,2018-02-01,"Magellanic Plover","MAPL","",NA
181,2018-02-28,"Baden-Wuerttemberg bats","DE_bats","Bat research with beeper and nano tags in Baden-Wuerttemberg, Germany",NA
182,2018-03-05,"Actio Riparia Hungary","Riparia HU","Fixed and mobil Motus stations in Hungary for detecting migratory bird species and specific studies of sand martins marked in breeding colonies.",NA
183,2018-03-13,"Albany Pine Bush Preserve","PineBush","Motus station at the Discovery Center in the Pine Bush Preserve, Albany NY",1
184,2018-03-16,"Zoo Miami","ZooMiami","Station located at Zoo Miami to increase Motus network coverage.",NA
185,2018-03-20,"Louisiana Chenier Stopover Habitat","LA_chenier","Evaluation of Chenier stopover habitat in southwest Louisiana for Nearctic-neotropical migratory bird.",1
186,2018-03-22,"Stopover strategies after desert crossing","Maggini - Morocco","This is a comparative study investigating the role of standing water for migratory passerines stopping over in the desert.",1
187,2018-04-11,"Florida Spoonbills","FL_ROSP","Habitat usage of Roseate spoonbills in novel environments.",1
188,2018-04-30,"TU_WIPL_LA","TU_WIPL_LA","Migration ecology study of Wilson's Plover natal and breeding dispersal.",NA
189,2018-05-16,"Fort Wayne Children's Zoo","FortWayne","A network of Motus stations in Northeast Indiana managed by the Fort Wayne Children's Zoo.",NA
190,2018-05-17,"PARI","PARI","Motus station setup at PARI in Rosman, NC.",NA
191,2018-05-24,"Pacific Shorebirds","Pacific Shorebirds"," Tracking study to follow shorebirds during migration on the Pacific flyway. ",3
192,2018-05-25,"Eastern Whip-poor-wills","EWPW","Eastern Whip-poor-will migratory movements from the Bruce Peninsula, ON",NA
193,2018-05-31,"Indiana Audubon","IN_Audubon","Motus station setup at the Mary Gray Bird Sanctuary, Indiana and Indiana Dunes (coming online in 2021). ",1
194,2018-06-04,"Common Nighthawk/Eastern Whip-poor-will","GrahameNightjars","Investigating breeding ground survival, departure dates, and migratory connectivity for Common Nighthawks and Eastern Whip-poor-wills breeding in ON.",1
195,2018-06-05,"Breeding habitat of Chimney Swift in Québec","Habitat-ChimneySwift","",3
196,2018-06-11,"Fire Island PIPL Fledgling Survival and Migration","Fire_Island_PIPL","Tracking fledgling piping plovers to document sources of pre-migration mortality and identify stopover locations.",NA
197,2018-06-11,"Taylor - Swallows","TaylorSwallows","Tracking of the post-breeding and early migratory movements of Bank, Barn, Cliff and Tree Swallows from breeding sites in New Brunswick.",1
198,2018-06-22,"Prothonotary Warbler Migration","PROW_Mig","Prothonotary Warbler nanotags deployments will build upon a growing network of migration research on this species.",1
199,2018-06-25,"Ontario Bank Swallows 2018","BANS2018","Transmitters being placed on 100 bank swallow fledglings to measure survival.",1
200,2018-06-25,"Ontario Thrush Migration","ON SWTH GCTH Motus","SWTH and GCTH tagged on northern Bruce Peninsula in partnership with Bruce Peninsula Bird Observatory.",NA
201,2018-06-28,"Purple Martin","PUMA","Purple martin migratory movements from  Manitoba, ON",NA
202,2018-06-28,"Darner Migration","Darner","",NA
203,2018-07-14,"Landscape connectivity in Ontario bats","ON_bats","Movement of little brown bats from maternity sites to swarming sites",1
204,2018-07-17,"GTA Bat Tracking","GTA_bats","Tracking bats to locate roosts and foraging areas within the Greater Toronto Area.",1
205,2018-07-22,"Colorado State SWHA","CO_SWHA","Using Motus to determine exact timing of Swainson's Hawk arrival in California.",1
