"id","dtCreated","name","shortName","shortDescription","fee_id"
288,2019-08-21,"Fall migration of American Pipit and Horned Lark","AMPI-HOLA","Fall migration routes of American Pipits and Horned Lark captured at the Observatoire d'Oiseaux de Tadoussac",3
289,2019-08-21,"Upper Mississippi Valley migration ","Upper Miss Migration","Array of 6+ towers to investigate migration and movement of golden winged warblers and other species in the Upper Mississippi River Valley. ",2
290,2019-08-29,"Tennessee Regional Motus Collaborative Project","TN Motus Project","The Nature Conservancy is initiating a Motus-based project to better understand aerial wildlife, and critical habitat, in and around Tennessee.",1
291,2019-08-29,"UK-BirdObs","UK-BirdObs","Project Yellow-browed.  UK Bird Observatories Motus deployment for various migration studies.",NA
292,2019-09-03,"Bernheim Birds","Bernheim Birds","Bernheim is tracking birds throughout the 16,137 acre arboretum and research forest to better understand habitat usage, migration, and site fidelity.",1
293,2019-11-05,"Cellular Tracking Technologies","CTT","Stations managed by CTT.",1
294,2019-11-12,"Shorebird monitoring in central NSW estuaries","NSW","This project aims to quantify movements of shorebirds within and between central New South Wales east coast estuaries with a focus on eastern curlew",1
295,2019-12-05,"KSFO Raptor Relocation Network","SFO RRN","SFO will trap and translocate raptors and us Motus data to evaluate the program's efficacy for reducing collisions of birds and airplanes.",1
296,2019-12-06,"Helgoland Spring 2017","Hel spr 17","departure decisions of migratory songbirds with different migration strategies",1
297,2019-12-06,"Helgoland Autumn 2017","Hel aut 17","departure decisions of migratory songbirds with different migration strategies",1
298,2019-12-06,"Helgoland Spring 2018","Hel spr 18","departure decisions of migratory songbirds with different migration strategies",1
299,2019-12-06,"Helgoland Autumn 2018","Hel aut 18","departure decisions of migratory songbirds with different migration strategies",1
300,2019-12-06,"Helgoland autumn 2019","Hel aut 19","",1
301,2019-12-16,"Cayuga Bird Club ","CBC Lansing","Motus receiver at Myers Park, Lansing NY. To facilitate research in NY Plains region.",NA
302,2020-01-02,"Lion Country Safari ","LCS","Station located at Lion Country Safari to increase motus network coverage. ",1
303,2020-01-08,"Edward J. Meeman Biological Station Receiver","Meeman Receiver ","Motus receiver station located at the Edward J. Meeman Biological Station. ",1
305,2020-01-25,"Brazil-PUMA-2020","BrazilPUMA20","Study of the duration of stay of purple martin at roosting sites in Brazil before spring migration and spring departure date",1
306,2020-02-06,"BC Winter Birds","BCwinter","Tracking the survival of resident birds during the winter around Metro Vancouver",3
307,2020-02-11,"UK Bats","UK-Bats","Umbrella project for bat related studies in the UK.",1
308,2020-02-12,"Effects of high lead on AMRO movement and behavior","PbAMRO","Migratory movements and behavior following high lead levels during the juvenile stage in American robins (Turdus migratorius)",1
309,2020-02-12,"Linking Least Tern wintering and breeding sites","Least Tern wintering","Least Terns will be marked with nanotags in January 2021 in coastal Brazil, and hopefully detected as they migrate north. ",1
310,2020-02-20,"Purple Martin University of Delaware","PUMA UDel","Investigating Purple Martin Movements and Autumn Roosting Activity in the Mid-Atlantic",1
311,2020-02-21,"Bat migration over the German North and Baltic Sea","Batmobil","Investigation of flightroutes of bats crossing the German North and Baltic Sea.",1
312,2020-02-25,"Isla Masocarit - Navopatia Field Station","Isla Masocarit ","Navopatia Field Station is hosting the Motus station on Isla Mascorit",1
313,2020-02-26,"Tulsa Zoo Motus ","Tulsa Zoo","Migratory bird tag tracking from the Tulsa Zoo",1
314,2020-02-27,"Stephanie's Marsh Birds","StephMB","Tracking Breeding and Migrating Marsh Birds",1
315,2020-03-09,"Forillon National Park","Forillon NP","Antenna deployed in Forillon National Park (QC)",3
316,2020-03-09,"Duke Farms","DUBA","Duke farms banding station",1
317,2020-03-11,"Belle Isle Nature Center","BINCMO","Belle Isle Nature Center MOTUS tower data collection.",NA
318,2020-03-12,"Helgoland spring 2020","Helgospri2020","",1
319,2020-03-13,"Carpenter Main Campus Tower","CNC Main","Main tower for CNC MN campus.",1
321,2020-03-22,"Bird rhythms","rhythms","Project to characterize chronotypes of birds during the breeding season, and to record migratory birds and bats at other times of year.",1
322,2020-03-23,"TestTags","TestTags","A project to hold designated Test Tags. ",9
323,2020-03-28,"TRACKBIRD - Songbird spring migration 2020","TRACKBIRD_Spring2020","Songbirds tagged at the coast of Niedersachsen (Germany) during spring 2020.",1
324,2020-04-18,"Ellis Bird Farm Receiver Station 1a","EBF Station1a","A comprehensive MOTUS/CTT networked receiver station at the Ellis Bird Farm bird sanctuary in central Alberta, Canada.",1
325,2020-04-22,"Zoo New England Audubon","ZNEA","CTT sensor for migrating wildlife",1
326,2020-05-15,"REVI - Timing of migration PA","REVI-PA","Nanotags will be used to determine onset of fall migration and hopefully arrival back the next spring",1
327,2020-05-27,"Alderville Black Oak Savanna","ABOS","Tagged birds found at ABOS by Motus Tower",1
328,2020-06-15,"PUMA-Manitoba-2020","PUMA20","Tagging and tracking of Purple Martins in Manitoba for the light pollution experiment.
",1
329,2020-06-15,"Zwin Natuur Park","Zwin","The Zwin Nature Parc is a Nature reserve on the east coast of Belgium in Flanders.",1
330,2020-06-23,"Lotek ","Lotek","Lotek project used for project, tag, and receiver data management purposes. ",1
331,2020-06-23,"My Motus Test","CTTmotusTest","This is a test project so I can familiarize myself with the Motus system",1
332,2020-07-01,"AMKE research MN","AMKE MN","Use of motus tracking system to learn more about annual life cycle of the American Kestrel adults and First year birds ",1
333,2020-07-02,"Pueblo Chemical Depot","PCD","Wildlife movement in high desert",1
334,2020-07-06,"Poplar Island Restoration Site - Common Terns","Poplar Terns","Common Tern Nanotag and Lifetag Marking on Poplar Island, Chesapeake Bay, Maryland.",2
335,2020-07-17,"TRACKBIRD - Autumn songbird migration 2020","Autumn 2020","Songbirds tagged at the coast of Schleswig-Holstein (Germany) during autumn 2020.",1
336,2020-07-31,"CWS-Pacific Shorebird Stations","CWS-PacificStations","Array of towers maintained by Canadian Wildlife Service - Pacific to support ongoing tracking of shorebirds on the Pacific Coast.
",3
337,2020-08-06,"USFWS MB R9 Shorebird Project","USFWS R9 Shorebirds ","Tracking migratory shorebirds along the Oregon and Washington coast.",2
338,2020-08-14,"Yellow-browed Warbler migration Helgoland","YBW Helgo","",1
339,2020-08-14,"Helgoland autumn 2020","Helgoland.aut.2020","",1
340,2020-08-14,"Helgoland autumn 2021","Helgo.aut.2021","",1
341,2020-08-18,"Delaware Clapper Rail Research ","DE_CLRA","Tracking hatch year Clapper Rail dispersal from individuals tagged in Delaware saltmarsh.",1
343,2020-08-26,"Town of Kiawah Island ","Kiawah","Multiple long-term receivers and occasional tagging projects",1
344,2020-08-29,"Motus station and winter sparrows at Seven Islands","Seven Islands","Motus station setup at Seven Islands State Birding Park.  Study the arrival, departure and habitat use of wintering sparrows in our managed grassland.",1
345,2020-09-07,"Scott Hoyland 1a","SH1a","A personal endeavour.",1
346,2020-09-09,"Collaborative Central America Array","Central America","Central America array managed by Paso Pacifico and Southern Sierra Research Station.",1
347,2020-09-24,"Arizona Game and Fish Department","AZGFD","a project focused on deploying a network of receivers across Arizona and working with collaborators to answer local questions",1
348,2020-09-27,"Zoo Atlanta","Zoo Atlanta","The station aims to determine what birds that are migrating over the Atlanta area.",1
349,2020-10-02,"Fraser Estuary Overwintering Shorebirds","FraserShorebirds","Tracking movements of overwintering shorebirds in the Fraser Estuary.",1
350,2020-10-07,"Kansas Shorebird Radio Telemetry Project","KSRTP","Researching turnover rates of shorebirds to estimate population.",1
352,2020-10-14,"Intermountain West Collaborative - UM birds","IWC-UM Research","IWC Motus - University of Montana projects",1
353,2020-10-21,"X","X","X",NA
354,2020-11-09,"Illinois Motus Network","Illinois Motus","Placing Motus receivers in Illinois.",1
355,2020-11-10,"Lund Migration Research 2020","Lund 2020","data from all birds tagged in 2020",1
356,2020-11-20,"Eyes on the Skies – Arctic Shorebird Monitoring","WNP","Expanding the MOTUS network in to Wapusk National Park, and further in to Canada's North. ",1
357,2020-11-23,"Coastal Motus Network in NW Mexico","NW Mexico","Installation of 15-20 motus stations in 12 priority wetland of NW Mexico  to track 4 shorebird species and 2 marine bird species.",1
358,2020-12-02,"Black Rail breeding space use","BLRA","",2
359,2020-12-08,"Black Tern Dispersal - Saskatchewan","BLTE - SK","Examine migration routes and breeding dispersal of Black Terns breeding in Saskatchewan.",3
360,2020-12-10,"Barn Swallow foraging on Conte NWR","Conte Barn Swallows","Assess characteristics of foraging sites being used by nesting Barn Swallows near Fort River Division of Conte National Wildlife Refuge, Massachusetts",2
361,2020-12-10,"Swainson's Warbler Migratory Connectivity","SWWA_MC","Determining the migratory routes, wintering grounds, and connectivity of Swainson's Warblers (Limnothlypis swainsonii)",1
362,2020-12-17,"Migration tracking Pozo Colorado – Concepción","MOPC2020","Improving our understanding of migration of landbirds in Paraguay by strategically position Motus towers in the Paraguayan Chaco.",1
363,2020-12-17,"Blackpoll Warbler post-breeding movements","BLPW post-breeding","",NA
364,2020-12-17,"Irruptive species on the move","Irruptive species","",NA
365,2020-12-21,"UK Motus Group","UKMotus","All UK Motus receivers installed pre-2021 and those installed after this not associated with a particular project.",1
366,2020-12-30,"American kestrel monitoring","AMKE","Deploying tags on adults to assess winter survival and chicks to assess movement post-fledging",1
367,2021-01-05,"Tennessee Warblers","Tennessee Warblers","Monitoring within season survival, return rates, and migratory pathways of songbird species of conservation concern",2
368,2021-01-06,"ACR Tomales Bay","ACR Tomales Bay","Monitoring movements of wintering Dunlin on Tomales Bay",1
369,2021-01-20,"Salt Plains NWR","SPNWR","Tower on western edge of salt flats.",NA
370,2021-01-20,"Tall Timbers Research Station Motus Tower ","Tall Timbers ","",1
371,2021-01-26,"TRACKBIRD - Songbird spring migration 2021","TRBSpring21","",1
372,2021-01-26,"Idaho American Kestrel pilot","AMKE pilot","Deploy small number of nanotags on American Kestrels to test reliability of locations for larger studies of dispersal, migration, and survival.",1
373,2021-01-27,"Montreal Connectivity","MTL_connect","Monitor the movements of songbirds within the Grand Parc de l’Ouest to better understand local habitat connectivity",1
374,2021-02-01,"Tag simulations","tagsim","Test project for testing the processing of tag pulses",9
375,2021-02-02,"Post-breeding dispersal of Common Eiders","Fundy Eiders","Female eiders tracked during post-breeding period while attending creches in the Grand Manan Archipelago, Bay of Fundy",3
376,2021-02-03,"Nemours Wildlife Foundation_South Carolina","NemoursSC","MOTUS station operated by Nemours Wildlife Foundation in the ACE Basin, SC.",1
377,2021-02-09,"Desert National Wildlife Refuge Complex Motus","Desert NWRC Motus","Project involves deploying Motus Wildlife Tracking Systems on four National Wildlife Refuges in southern Nevada to support the Western Motus Network.",2
378,2021-02-23,"NE Indiana Migratory Bats","IN Migratory Bats","Small pilot project looking at migratory bats in Indiana, USA",NA
379,2021-02-25,"Helgoland Spring 2021","Helgoland.spr.2021","",1
380,2021-03-04,"Fensore UNB - Swallow Roosting Ecology","Fensore_UNB","Tracking BARS & BANS movement to identify roost sites in Eastern New Brunswick.",1
381,2021-03-08,"Connecting Conservation for Declining Migrants","Flyway Conservation","Tracking habitat and Protected Area connections for Pacific at risk and steeply declining migratory birds to support conservation.",3
382,2021-03-10,"Cavity nesting ducks in the SJR valley of NB","WODU and COGO","Assessing movement distance and pathways of breeding cavity nesting ducks.",1
383,2021-03-11,"Ohio River Islands NWR","ORINWR","Detecting bird and bat movements near Ohio River Islands NWR.",1
384,2021-03-12,"Migratory Birds in Springfield, MA","SpringfieldBirds","Tracking stopover and movements of migratory songbirds using urban forests",1
385,2021-03-15,"LDWF-AAOA","LDWF-AAOA","Passive detection station maintained by the Louisiana Dept. of Wildlife and Fisheries and the Aquarium of the Americas",1
386,2021-03-15,"Smithsonian Northern Great Plains MOTUS","SCBI NGP Motus","A MOTUS tower array and tagging program to study the migratory ecology and demography of imperiled grassland songbirds.",1
387,2021-03-19,"Costa Rica Motus ","CRMotus","Motus stations in Costa Rica",1
388,2021-03-27,"TRACKBIRD - autumn 2021 Helgoland","Add2021","Skylark and Starling spring migration 2021",1
389,2021-03-29,"Pre-migratory Flights in Northern Wheatears","pre-mig flights","In this project, we examine the spatiotemporal patterns of pre-migratory flight in a breeding population of Northern Wheatears in northern Germany.",1
390,2021-03-29,"Atlantic Offshore Wind Pilot ","AOWP","Motus stations and tags deployed for various pilot studies within the Atlantic Offshore Wind Assessment portal.",8
391,2021-03-31,"PROW Migration in Western Lake Erie","PROW_LAKE-ERIE","Spring movements of Prothonotary Warbler through Western Basin of Lake Erie.",1
392,2021-03-31,"VCFS Nesting Project","VCFS Nests","This project involves tagging three primary species that nest in our area (OVEN, REVI and NOWA) in order to monitor nesting location and duration.",1
393,2021-04-01,"Prairie Landbird Monitoring - Canada","Grassland Birds","Examining migratory connectivity between breeding and wintering grounds for grassland birds in North America",3
394,2021-04-07,"Nevada Department of Wildlife","NDOW","Studying movement patterns of bats in a portion of White Pine County, NV",1
395,2021-04-12,"European Robin - Oldenburg - Germany","Robin","Partial migratory behaviour in robins",1
396,2021-04-14,"GA DNR Motus Fall Bat Tracking Project","GA Fall Bat Tracking","GA DNR will attempt to capture and track migratory bats along the coast in October 2021.",2
397,2021-04-16,"University of Wyoming Coop -- Sagebrush songbirds","UWYO - sagebrush","Project including motus stations installed in Pinedale, WY. Brewer's sparrows, sagebrush sparrows, and sage thrashers to be tagged.",1
404,2021-04-20,"American Kestrel migration - C-SWG Northeast Motus Collaboration","Kestrels - MA","Migration of Massachusetts-nesting American Kestrels",2
405,2021-04-21,"TN Wood Thrush","TN WOTH","",1
406,2021-04-22,"Ohio University Avian Movement Ecology","Ohio University","Project will include two Motus towers near Athens Ohio to add to the Motus Network, provide Ohio University students with experience with Motus.",1
407,2021-04-29,"Dominion CVOW Pilot Project Turbine A01","CVOW Turbine A01","One Motus receiver is located on Turbine A01 (north turbine) at the Dominion Coastal Virginia Offshore Wind Pilot Project.",1
408,2021-04-30,"Nelson's Sparrows in Atlantic Canada","NESP","Tracking habitat use of Nelson's Sparrows in dykelands vs. saltmarsh in Atlantic Canada",1
409,2021-05-01,"Monitoring Harrier Field and Erie Landfill at the NJ Meadowlands","Harrier/Erie ","Determine the usefulness of contaminated reclaimed grassland and wetland sites in the New Jersey Meadowlands for migratory and breeding birds",1
410,2021-05-01,"The Effects of Window Strikes on Migratory Routes and Successful Completion of Migration in Passerines","Window Strikes","Comparing window struck but ostensibly recovered migrating birds' migration to that of control birds",1
411,2021-05-01,"Potential Negative Effects of Captive Raising on Migration in Passerines","Captive Raised Young","Tracking the migration of captive-raised birds raised in a rehabilitation setting versus control birds",1
412,2021-05-02,"Myotis californicus roost locations","MCRL","Radio tracking Myotis californicus and Myotis yumanensis to their maternity colony roost sites",1
413,2021-05-04,"Monarchs on the move / monarchs be moving","monarch tracking","We using nanopin tags to understand monarch flight behavior through southern Ontario and around the Great Lakes",3
414,2021-05-10,"Eastern Painted Bunting migratory connectivity","PABU MC","Estimation of migratory connectivity and survival of eastern Painted Buntings",1
415,2021-05-12,"Vmur - The Netherlands","Vmur_NL","Tracking Parti-colored bats in The Netherlands",1
416,2021-05-17,"PARC stopover","PARC stopover","Differential stopover strategies of migrant passerines at Powdermill Avian Research Center",1
417,2021-05-19,"Georgian Bay songbirds","GB","Post-breeding movement and onset of fall migration by songbirds.",1
418,2021-05-20,"UPDE Bats","UPDE Bats","Seasonal movement of little brown bats in the Upper Delaware River corridor",1
419,2021-05-21,"New England Monarch Migration","NE Monarchs","Study of Monarch migration patterns in New England",1
420,2021-05-26,"Manitoba little brown bats","Manitoba Bats","Assessing the movements and habitat use of little brown bats.",1
421,2021-06-04,"Peace Region Collaborative Array","PeaceBCArray","An array of Motus stations designed to support research on bats and birds in the Peace Region in northeastern British Columbia, Canada.",9
422,2021-06-11,"MA Offshore Weather Buoys","MA Offshore Buoys","Weather/Oceanography buoys deployed south of MA",1
423,2021-06-15,"Thick-billed Longspur migration","TBLO migration","Tagging birds on breeding grounds in the NGP.",1
424,2021-06-18,"PUMA-Manitoba-2021","PUMA21","Tagging and tracking of Purple Martins in Manitoba during the breeding season.",1
425,2021-06-19,"MOTUS FUNDAECO GUATEMALA","MOTUS_FUNDAECO_GT","Series of MOTUS stations managed by FUNDAECO in Guatemala",1
426,2021-06-25,"Klamath Bird Observatory","KBO","Various avian projects in southwestern Oregon - currently focused on Oregon Vesper Sparrow and Lewis's Woodpecker",1
427,2021-06-28,"Hanging Rock","HRRO","Data collection at Hanging Rock Raptor Observatory.",1
428,2021-07-02,"Motus Towers at Mono Lake","Mono Motus","Multi-year project to detect phalaropes and other birds at Mono Lake. Motus array consists of three towers to detect around Mono Lake.",1
429,2021-07-04,"IBO Life Tags","IBO Life Tags","2021 pilot year - focused on YBCH, GRCA, WETA, & Catharus thrushes",1
430,2021-07-05,"Intermountain West Collaborative - IBO","IWC- IBO","Intermountain Bird Observatory research tags, as part of the broader Intermountain West Collaboration Motus Project.",1
431,2021-07-23,"Juvenile Red Knot Tracking in the Southeast US","REKN Juveniles in SE","This project aims to understand the movements of juvenile red knots in the southeast US to identify threats they may face.",2
432,2021-07-27,"Save the Cave: Protecting Bats in Bruce Peninsula National Park","BPNP Save the Cave","",1
433,2021-08-02,"Tagging and monitoring migratory animals across the Curonian Spit (Rybachy, Russia)","RYB","",1
434,2021-08-03,"Tracking movement of Northern Saw-whet Owls in Coastal BC","BC NSWO MOTUS","Pilot project to assess movement behaviour of Northern Saw-whet Owls in coastal areas of British Columbia using MOTUS",1
435,2021-08-03,"SLZ Receivers","SLZ Receivers","Receiver deployment at 2 SLZ sites",1
436,2021-08-04,"Red del Sistema de Seguimiento de Vida Silvestre MOTUS en Venezuela","Venezuela Motus","La “Red del Sistema de Seguimiento de Vida Silvestre MOTUS en Venezuela” proporcionará información vital a los científicos, políticos y ciudanos.",1
437,2021-08-06,"Bumble bee queen movement with environmental stressors","bumble bee movement","Assessing how different environmental stressors influence bumble bee queen movement",NA
438,2021-08-16,"TRACKBIRD - Songbird autumn migration 2021","TRB aut 2021","Tracking songbird movements across the German Bight",1
439,2021-08-16,"Motus Polska","Motus Polska","We aim to install MOTUS towers in Poland to increase the detections in the flyway of tagged species from the NE <--> SW.",1
440,2021-08-19,"Beaverhill Lake Monitoring ","BBO","A MOTUS station on an 80' tower on the south shore of Beaverhill Lake, Alberta",1
441,2021-08-25,"Cerulean Warbler Stopover- duration, habitat selection and home range.","CERW Stopover","Studying the stopover duration of Cerulean Warblers (Setophaga cerulea) in Costa Rica, as well as habitat selection and home range.",NA
442,2021-08-26,"Test Project 2","Test Project 2","This is only a test....again",1
443,2021-08-26,"Nashville Zoo at Grassmere","Nashville Zoo","General Listening Station",1
444,2021-08-26,"Bats in Mount Rainier Nation Park","mountRainierBats","",NA
445,2021-09-02,"Iowa DNR Motus Network","IA DNR","Motus projects managed by the Iowa Department of Natural Resources",1
446,2021-09-02,"California Department of Fish and Wildlife Motus","CDFW Motus","Network of Motus stations installed by the California Department of Fish and Wildlife to support multiple species tracking projects.",1
447,2021-09-03,"Dominion CVOW Pilot Project Turbine A02","CVOW Turbine A02","One Motus receiver is located on Turbine A02 (south turbine) at the Dominion Coastal Virginia Offshore Wind Pilot Project.",NA
448,2021-09-06,"South-West England Motus Project","MotusSW","Bat and bird monitoring in south-west England",1
449,2021-09-07,"UPDE Bats - Wildcat","UPDE Bats - Wildcat","Seasonal movement of little brown bats in the Upper Delaware River corridor",1
450,2021-09-08,"Intermountain West Collaborative - Sharp-tailed Grouse Project","IWC - STGR","Intermountain West Collaborative is hosting the Sharp-tailed Grouse Motus project",1
451,2021-09-08,"Monarch Migratory Pathways Through Southern Ontario 2021","Monarch S.ON 2021","",1
452,2021-09-18,"Western Upper Peninsula Migration Project ","UP Migration","Combining multiple sources of data to understand the migratory ecology of birds in Michigan's Upper Peninsula.",1
