deploymentID,tag_deploy_id,species_id
3807,16638,42067
6189,19049,42067
7636,28253,41384
4385,1935,4690
2729,8417,2720
5503,25086,125480
6115,33358,10030
3991,20212,18760
0,19611,15580
631,5049,16580
0,31072,NULL
7429,38586,14050
5401,25447,4530
2292,14577,14250
4232,11809,4690
5469,26648,125480
6200,35344,4700
5345,24469,14120
5739,35830,16830
5139,26737,38790
2902,9261,15580
5496,29194,125480
5436,29196,125480
2279,1517,4670
5493,21725,3770
3290,24310,4690
7917,36853,14030
4378,29409,36475
4624,21327,4670
3954,18301,15580
4524,18078,4820
7242,35707,36475
3582,1001,4670
6131,29035,14050
6185,37281,15050
3891,10691,16890
3462,6195,4680
4798,23343,14050
5554,24684,19500
3994,28199,7871
7538,35145,14050
4208,17236,7720
6187,30110,42067
7242,36961,45843
4544,29629,42067
4390,7912,4680
1008,7032,4690
7673,28421,4760
8039,32878,NULL
6187,36539,45843
3612,937,4690
3895,12874,16890
2663,21061,4670
4368,28309,4750
4798,23907,14050
8467,37937,16890
2132,5562,252456
5338,22809,5570
3810,19593,15580
6185,36717,15651
2549,8220,4690
5748,35194,4750
3379,7403,5000
4307,19485,124960
5588,31901,125480
4365,25257,36475
2351,1123,4630
7315,36425,15050
3942,19775,35912
2669,4423,16620
4864,20314,14250
5232,34237,NULL
7230,34439,123690
5695,32259,16600
5928,27190,NULL
3461,12142,4680
4149,20325,14250
7843,37050,14030
3066,6977,4690
4057,37034,14030
4794,32607,4700
5710,23000,4690
3348,13085,5970
5721,26076,3830
2776,7260,14280
7476,37661,19130
3486,10758,257061
3807,16495,36466
7947,34625,15960
4693,18714,16770
2292,17259,7871
3861,25259,36467
4378,27952,42067
3269,7883,4670
4286,26424,14120
0,32326,16600
2259,6024,35407
4787,8445,2720
6154,30119,15580
6195,35249,125480
2180,7237,16580
2392,4653,15560
2514,160,15580
2286,1720,4670
2947,6321,42067
7864,34940,100430
2729,36801,252456
8521,37936,16890
7742,34040,5570
5000,18105,4760
6185,32406,45843
3267,7889,4680
2048,1894,4690
3881,11469,42067
8188,36324,36466
3861,35624,36467
4798,12085,3751
1507,5146,35407
2549,8535,15600
3146,22980,19650
6088,28319,4750
4996,18664,7680
5676,26477,14120
5128,24179,38804
3477,14248,4680
3532,9869,16780
3121,17245,7720
4503,36607,45843
5283,22013,16890
4275,15319,4760
5011,23517,4670
3277,8050,4670
5243,24455,38789
4208,14697,4630
3446,9061,16820
0,34444,123690
4725,17390,41600
2763,2401,124780
8039,36499,15580
645,10344,4750
5508,22327,3830
3172,2542,15580
3602,8774,4670
3091,9844,19650
0,5167,35407
4222,15381,4180
4393,8013,4670
5483,30014,15580
1522,919,4690
3468,10430,4750
3274,9203,3580
3271,12159,4680
4544,26572,4820
6185,30806,45843
1871,5170,35407
4292,7857,4680
7857,18979,100430
8309,38027,3770
2801,4794,42067
4795,19149,4180
0,20707,17150
3159,8025,4670
4787,16128,3751
8327,24887,230
3157,9202,3580
4461,12489,15560
2779,18785,14280
4220,26081,3830
6189,15969,35912
7458,33735,42067
1536,979,4690
2146,12938,15600
5427,24342,4690
4307,35257,125480
3067,7940,4680
0,6993,4690
4787,13042,2720
4624,19375,4530
4532,19198,42067
5720,37184,4820
3146,19030,19650
4868,18733,13640
4454,19917,36466
3121,7819,15600
4757,17125,4690
2631,5674,7680
2121,9327,14250
2148,7585,14230
7230,33666,42067
8306,32908,NULL
7290,34497,14050
2666,4368,16820
5469,29502,36467
4316,29815,42067
3193,7837,14250
4054,16286,14050
5216,34527,4700
5131,24174,38790
7738,32833,14250
6187,36705,15651
1865,5194,4760
8123,34322,16600
3417,14190,4690
0,27182,3830
3159,10819,15570
4532,16081,35912
8099,36640,15590
5436,35588,125480
7345,32966,14050
3807,27836,36466
6185,29807,42067
2927,6088,18890
7928,34416,NULL
3729,36584,45843
4469,16486,15651
8573,38451,NULL
4335,33748,42067
3156,602,4670
2729,8185,15600
2812,21112,4670
7445,28727,NULL
7305,37300,3830
2348,1225,4670
663,5242,100430
3688,15261,4750
4150,12005,16820
3872,14478,14250
1558,974,4690
4589,17120,4690
4455,19091,124960
5742,32911,NULL
5294,22739,4670
3121,20331,14250
4159,17280,7720
8461,37961,16890
0,4829,5580
3103,10382,4750
5856,20050,5010
3280,20912,4670
2549,626,4670
2590,1408,4180
3998,21099,4670
3116,21716,3770
3820,14421,45843
6185,37115,15651
634,5044,16600
2259,196,19000
7383,29365,15550
2660,4398,16820
5288,22477,4110
6187,37335,45843
7962,35287,4180
5137,23145,NULL
6054,29821,42067
5000,17939,4760
7366,27295,NULL
2545,292,100430
714,4960,16820
4993,17046,4690
5710,25290,14040
7716,34664,18990
3159,9422,4670
7478,31054,19160
5521,28162,7871
4787,28717,NULL
4902,11575,4690
7633,32898,NULL
5343,30266,15580
1132,2158,16580
3912,12494,15580
3807,16014,45874
5075,20222,18760
3702,28239,36467
4632,22327,3830
7695,32907,NULL
1865,1370,4760
2848,5821,45376
3097,10458,4780
3260,6169,4530
3998,20993,4670
2729,10272,4980
5160,22208,15580
3454,33015,35407
5409,23450,14250
3807,36601,45843
2811,5894,5170
5724,22639,4980
4312,35578,125480
3729,16335,36466
7733,32850,14050
670,5136,19030
4726,22724,4670
5180,20924,31383
2549,2083,16820
4317,25136,125480
2259,6047,35407
7962,35685,4180
4764,20182,16820
7771,33365,15580
3808,33748,42067
4381,9427,4670
4391,8025,4670
1105,2609,15580
8459,35683,4680
3468,10805,16820
3229,21148,4670
5332,25461,4180
2928,22763,4690
6131,30034,19650
3701,27900,36466
2388,17372,14280
5430,24397,4690
4309,18849,125480
7392,36449,7750
6143,28394,4690
3702,16019,45874
1532,937,4690
2785,7285,14280
6185,34427,123690
6055,37130,15651
2285,1155,4670
8472,37943,16890
3420,17866,4690
2792,5768,18890
1475,2265,3580
3992,22068,16610
4747,18819,125480
4794,32667,4820
4396,9571,4690
2315,5087,19030
2950,9757,45874
5483,32470,19030
4526,16758,4690
2952,17239,7720
2429,17679,35407
0,33093,35407
1536,919,4690
7667,32358,4610
7989,28295,10030
7690,33877,42067
4476,1750,4760
1925,4966,16820
4054,17623,16900
4787,28777,NULL
4818,35630,36271
5132,24175,38790
3967,20990,4670
638,5252,100270
8066,37167,7680
4787,22806,5570
3098,7883,4670
2479,4237,16620
6184,36146,15580
8084,30674,NULL
8193,32875,NULL
3956,19686,252456
1124,2045,35407
2141,4528,19250
7561,35336,4700
5127,23502,4670
1924,1570,4760
2386,2476,100430
3965,12492,15580
3348,16285,14050
7857,20459,15600
4206,12442,15570
7770,28910,8040
7429,32847,14050
3790,4993,16820
4892,25151,125480
7760,34225,NULL
3157,20964,4670
0,6166,4530
6088,28402,4690
3702,30755,4610
5216,30276,4700
4787,17788,14050
630,5062,16600
4036,22290,16610
7571,33124,14050
1864,5193,4690
3908,15157,18780
8580,37535,4820
1134,1628,4760
3051,12180,4680
7425,28892,8040
5240,19668,252456
3476,9478,18950
1135,982,4670
5686,21726,3770
2531,4400,16820
5160,22915,4690
4587,16840,16940
4795,29093,4700
4292,8856,4680
7716,33711,41384
2300,6062,35407
4376,12501,15580
3146,25353,19650
7256,26965,45843
7479,31055,19160
5216,38689,4700
2948,8996,42067
4366,16064,35912
7274,28727,NULL
3454,18030,4670
8099,36580,19030
2545,2582,15580
4260,7011,4690
3861,25199,36467
4787,24804,16820
4643,16647,119680
2549,566,4670
4290,8839,4680
8475,37938,16890
3157,7745,4980
5721,26760,3830
7654,32245,16600
4710,22593,15600
3267,6169,4530
2292,11783,15580
7561,37566,15770
6054,29987,42067
8576,37951,16890
3938,14483,14250
8262,34040,5570
1151,947,4690
3854,11379,16940
4200,20899,4670
2289,1761,4690
3966,12433,15570
2349,1195,4670
5427,24402,4760
6151,29245,125530
4837,18962,121310
0,29037,14050
5491,36639,15590
2622,13678,15580
4774,18488,35407
0,28639,45874
6054,36911,15651
1930,4995,16820
5246,26757,NULL
2657,693,4670
1888,5159,35407
3146,4354,15580
3930,14565,14250
4795,35860,4680
2050,2678,16820
3595,1864,4690
2663,13693,15580
3938,14881,252456
5240,18901,15580
5130,26749,38790
5062,26976,16610
2216,2417,124780
3701,16018,45874
3577,2243,3580
3121,17477,35407
4203,25282,36467
2289,1197,4670
1124,1985,35407
4559,16517,15560
4043,14478,14250
5240,32887,NULL
2411,4261,16620
5212,15604,16890
4973,21184,4670
4100,12257,4690
6165,29139,123690
4140,15554,18900
6154,33551,10030
7216,30346,45843
4849,19652,252456
2486,4237,16620
6133,29255,125530
4787,8408,2720
2657,4403,16820
2165,7611,14250
6055,29822,42067
3157,9368,4670
3159,10467,4670
3190,7782,15560
4702,21570,4670
5001,21132,4670
1507,947,4690
3618,5404,18950
3595,5425,18950
4503,37042,14030
4864,24851,7871
4386,18527,14250
2347,1224,4670
3938,19335,4180
3001,7680,16940
4902,14738,4670
0,24185,38790
5337,23724,15580
1570,897,4690
2669,4363,16820
7864,34834,100430
3283,6148,15580
4503,19166,36704
0,9907,15580
4795,32654,4700
3602,15286,4760
4555,14912,36308
8148,33313,14040
6055,37333,45843
2146,2204,16580
5469,25108,125480
6054,30130,42067
3109,9691,16890
8358,39125,14050
3909,21670,4690
4522,23514,4670
2988,12983,15600
5127,22735,4670
3469,9687,19010
4794,22010,4700
5324,22629,8040
3473,10436,4750
6156,36453,7290
4787,28551,NULL
8515,32679,14250
2729,11331,19030
4863,25488,4180
2114,359,124470
4925,19217,100190
6191,16956,36467
0,37945,16890
4197,16533,40372
3988,14366,14250
2839,824,4690
7311,29931,16600
4215,28262,41384
2146,11338,19030
4787,22640,4980
3467,9527,15590
7479,37656,19130
5361,28287,10030
3802,15971,35912
3159,9362,4670
2902,10552,41384
4794,27921,4700
3861,35730,36467
4753,24345,4690
4054,17743,14050
4788,23978,14050
3529,17196,4690
5612,27293,NULL
3861,15000,15651
6189,16616,36704
3933,36057,13210
3245,10350,4180
4368,24313,4690
8221,37480,4820
2608,1945,4690
4003,21022,4670
7667,38209,4610
4093,12904,14120
7857,22809,5570
6124,33300,16290
2146,9174,100230
4335,16662,40718
7354,34537,5520
6059,27866,14120
3859,29659,36475
4154,27075,12170
5398,33481,4890
2950,10229,45874
4152,10121,4690
6191,16587,36467
4860,30577,45843
7690,33734,42067
5085,32514,4700
7497,28678,NULL
4391,8085,4670
3469,7397,4690
7934,34280,16930
4622,24668,19500
6115,35041,7720
5552,26064,42067
5614,28423,4760
4256,14088,123940
6185,37341,45843
0,879,4690
4787,22580,15600
3428,10860,15560
6185,30371,45843
2218,2328,124780
7374,28401,4690
6156,34372,10030
4365,29485,36467
7231,34755,NULL
4639,22327,3830
6157,28740,NULL
4532,27047,45843
5680,24372,4690
5863,21507,18890
3793,6033,35407
668,5082,16580
4634,25461,4180
5634,24291,4690
5240,24752,14250
4344,13172,41600
4130,14537,45843
8463,37955,16890
4777,28158,7720
8238,37595,15770
3445,10766,16610
5278,24374,4690
4788,23895,14050
4871,28117,36467
3158,1363,4760
5010,28923,15580
7629,32278,13640
3994,14568,14250
2308,5087,19030
4581,17202,4690
0,32237,16600
5273,23601,15550
8080,38767,45843
3872,32437,16420
5904,29597,36271
3469,9538,15590
4710,16201,4630
2146,11315,19030
2285,1696,4760
4122,12252,4690
4605,22246,15580
0,19648,15580
4532,16622,36704
3802,29393,36467
645,5252,100270
5618,24303,4690
5232,24270,10030
4827,19199,42067
7617,35916,15580
4630,21237,4670
5564,25400,100430
0,5393,41384
5112,20736,16920
2101,4995,16820
4790,17852,15580
4109,22212,15580
3523,7614,14250
2429,14473,14230
5552,26957,45843
8217,35898,125480
7258,34026,18940
1008,5801,18890
4050,15328,4690
4625,19090,125480
7901,33974,5520
3158,596,4670
3388,19791,4690
4979,19216,13210
2292,1959,35407
2651,288,13240
4380,12414,19650
5139,24175,38790
5774,27179,NULL
5308,25435,4530
3616,1091,4670
3229,9123,18950
1068,5942,5570
4016,14457,14250
7895,35086,3830
6055,30326,45843
1960,4945,16820
6200,27578,4700
7244,29392,36467
4256,11317,19030
5588,31864,125480
6133,35249,125480
7574,34493,14050
5131,26750,38790
1134,1545,4690
5293,27123,4780
4798,22141,4180
2625,10759,3580
2292,17611,16900
2132,1191,4670
4798,12062,4260
5306,24262,19760
1051,792,4690
3923,11305,19030
4175,2449,100580
6195,35587,125480
2596,7730,4980
2101,4912,16820
5065,27744,4690
7930,32827,14250
3859,25918,36475
7336,30545,19030
2430,345,124470
5508,17272,7720
4728,18490,14250
3157,10742,4670
7454,34497,14050
3480,10848,15580
3284,7615,14250
4316,35245,125480
5763,25394,3830
6199,29034,14050
3729,36418,15651
8080,38827,45843
2286,1697,4760
2640,4474,16820
5521,17797,7871
4544,33857,42067
3473,21070,4670
2532,4461,16820
4842,18968,119940
5279,17262,7720
5641,26575,119940
2580,2252,3580
4532,26363,45843
5469,30810,45843
7746,35622,36475
4226,14341,45843
4863,20327,14250
4892,19466,124960
4790,16538,NULL
4860,26040,42067
4482,15703,4670
2482,4249,16620
2549,2143,17150
2549,10301,4980
4313,29196,125480
5369,23834,19550
2292,11640,15580
7527,32046,NULL
2798,4776,42067
3290,8229,4690
4029,20292,14250
4380,21179,4670
7309,30020,15580
4234,22620,8040
6054,32397,45843
3468,21021,4670
4197,12431,15570
682,1455,4680
5916,24299,4690
5614,28340,4760
1918,4989,16820
5235,26572,4820
8080,34170,45843
8468,37961,16890
2686,21664,4690
4200,22725,4670
3861,36540,45843
4186,25459,4180
4029,14381,14230
3253,8625,100430
6191,16040,15650
4365,29545,36467
5748,30259,19030
4284,15321,4750
3348,21091,4670
5085,35511,15580
2804,5811,18890
6165,29222,125530
4316,29251,125530
6072,28151,7871
5405,26714,38790
4343,30340,45843
2948,9746,45874
5581,26703,45843
3786,8120,4630
2796,4562,42067
3114,7029,4690
2114,299,123940
3234,9189,100230
2292,16297,14050
4787,23347,14050
696,5322,16820
1946,1061,4670
5721,33361,3830
4242,21983,46507
1141,1808,4690
4343,25322,36475
8579,37820,4820
3341,8863,4680
0,23269,14120
5589,39007,125480
5401,25470,4180
5232,28724,7720
4041,16654,16930
3872,19579,15580
3807,28062,42067
7497,28535,NULL
5376,28829,45874
5052,30067,4630
3911,21040,4670
3095,8240,4750
4746,18818,125480
8147,37368,16290
7256,25425,42067
3156,38,4070
4692,19208,16770
5130,23145,NULL
2322,693,4670
3158,656,4670
2089,5132,19030
3872,16725,12150
7760,32602,16420
3820,11484,42067
5317,26903,16610
2647,4474,16820
2264,1785,4690
2429,15366,4750
3281,7468,14230
6191,15980,35912
6185,32054,45843
2948,9806,45874
2577,7747,4980
3283,7665,14250
4702,16140,3751
7704,34478,16930
2656,5641,18890
4630,21177,4630
3005,14406,14250
4634,24711,15900
3938,11343,19030
4291,12181,4680
3789,4428,16820
3970,28210,7720
7613,31878,15900
4721,21344,4670
1921,4984,16820
3262,8739,4670
4525,21849,4670
3938,24765,14250
2086,5346,16820
5613,27294,NULL
5132,27172,NULL
3872,19639,15580
4390,7889,4680
3260,7978,4630
4453,15671,4670
4787,18126,14050
5471,22543,38804
4272,20963,4670
4381,5889,5280
3005,24147,15600
0,25499,4180
4589,24345,4690
2106,4918,16820
8039,32901,NULL
5926,27909,NULL
6156,29918,15580
2292,2042,35407
4375,12491,15580
3859,16320,15651
5436,25223,124960
5414,26018,15900
0,5333,16820
4748,19218,13210
3190,6468,15560
2341,6993,4690
4524,18573,4070
7756,34137,18990
7880,28490,3770
3977,13325,4980
4312,25093,125480
4316,29191,125480
4725,24878,230
3275,9287,18950
4939,16769,5520
6067,23834,19550
4360,6602,4760
5037,23614,18990
5074,20221,18760
2384,2488,100430
4794,32644,4700
6054,36101,125480
3429,10838,15580
4175,1321,4690
7242,35730,36467
5317,32250,16600
2285,1839,4670
4471,12455,15580
2665,6966,257061
5085,30290,4700
4973,19375,4530
5015,10280,4980
7902,37167,7680
4343,26029,42067
7621,32563,NULL
7853,34380,14050
2120,7591,14250
6163,38196,4610
7995,38928,NULL
4366,27946,42067
7219,22117,4630
6191,16106,45874
7516,24891,230
4746,29243,125480
4040,17832,7871
7226,27195,NULL
4149,12980,15600
4746,19021,125480
3701,27840,36466
3353,10506,100250
2425,5500,2720
4745,17142,4690
4514,24512,14120
7694,33799,42067
4915,18807,18890
2415,5511,19650
