"stationID","deployID","name","dtStart","dtEnd","nAnt","frequency","country","continent"
688,3433,"CUTLER",2016-08-18,2016-11-15,3,"166.38",NA,NA
1057,3434,"GWASS",2016-08-27,2016-11-16,3,"166.38",NA,NA
2115,3435,"SHIP",2016-08-31,2016-11-19,3,"166.38",NA,NA
295,3436,"BEECH",2016-05-15,2016-09-02,3,"166.38","USA","North America"
298,3437,"BEECH2",2016-09-02,2017-02-07,3,"166.38","USA","North America"
1750,3438,"PEMETIC",2016-09-12,2016-11-02,3,"166.38","USA","North America"
809,3439,"Eastpoint ANERR Dock",2016-09-03,2017-03-24,3,"166.38",NA,NA
1381,3440,"Mackay Island NWR, NC",2016-09-12,2017-06-13,3,"166.38",NA,NA
1298,3443,"LAUW",2016-09-04,2016-11-30,NA,NA,"NLD","Eurasia"
1592,3444,"NANUK",2016-05-28,2016-09-30,NA,NA,"CAN","North America"
654,3445,"Cornish WMA",2016-08-31,2016-11-09,3,"166.38","USA","North America"
50,3446,"2016PKR_salt_pannes",2016-05-05,2017-03-13,3,"166.38","USA","North America"
621,3448,"Clear Creek",2016-09-09,2016-12-19,3,"166.38","CAN","North America"
316,3449,"BIMYWA2016",2016-09-05,2016-12-10,6,"166.38",NA,NA
2395,3452,"UOttawa BCCH mobile",2016-09-08,2016-11-04,NA,NA,"CAN","North America"
2232,3454,"Tadoussac - André",2017-08-24,NA,1,"166.38",NA,NA
519,3455,"Cap-aux-Meules",2016-05-26,NA,3,"166.38","CAN","North America"
1975,3456,"RUTG",2015-05-04,2015-09-30,3,"166.38",NA,NA
251,3457,"AVFP",2015-10-15,2015-12-28,3,"166.38","USA","North America"
2309,3458,"testing",2015-04-28,2015-05-05,3,"166.38",NA,NA
2381,3459,"TWI",2015-11-17,2015-11-18,3,"166.38","USA","North America"
674,3460,"CTPT",2016-06-15,2017-04-18,6,"166.38",NA,NA
1517,3461,"MNYS",2016-07-27,2017-10-10,6,"166.38","USA","North America"
1632,3462,"NOMA",2016-04-25,NA,6,"166.38",NA,NA
1634,3463,"NOMS",2016-04-25,2018-05-31,1,"166.38",NA,NA
2512,3464,"WING",2016-06-06,NA,2,"166.38",NA,NA
2455,3465,"WELL",2016-06-20,2017-09-29,6,"166.38","USA","North America"
1512,3467,"MNTK",2016-06-09,2017-10-26,6,"166.38",NA,NA
1802,3468,"PLIS",2016-04-20,2017-10-16,6,"166.38",NA,NA
963,3469,"FRIS",2016-06-30,2017-10-25,6,"166.38",NA,NA
1688,3470,"OSCT",2016-06-28,2017-11-21,3,"166.38",NA,NA
2118,3471,"SHNJ",2016-08-01,2016-09-13,6,"166.38","USA","North America"
