sensorID,serialNumber
2013,Lotek-6296
2010,Lotek-6303
2012,Lotek-6303
1540,Lotek-6312
2242,Lotek-6325
3302,Lotek-6325
2245,Lotek-6329
1320,Lotek-6343
1393,Lotek-6345
1774,Lotek-6345
1321,Lotek-6347
1468,Lotek-6352
2250,Lotek-6371
495,Lotek-6448
1469,Lotek-6454
1470,Lotek-6455
1456,Lotek-6457
1466,Lotek-6458
1464,Lotek-6460
1460,Lotek-6461
1925,Lotek-6462
4018,Lotek-6463
1454,Lotek-6464
1459,Lotek-6517
1455,Lotek-6532
1457,Lotek-6533
3261,Lotek-6535
1458,Lotek-6544
1472,Lotek-6545
1451,Lotek-6546
2648,Lotek-668
3131,Lotek-687
3581,Lotek-687
3316,Lotek-774
1582,Lotek-8121
1374,Lotek-8198
1319,Lotek-8203
1323,Lotek-8204
1611,Lotek-8204
1326,Lotek-8205
1322,Lotek-8206
1318,Lotek-8207
1375,Lotek-8282
1324,Lotek-8372
1325,Lotek-8373
2448,Lotek-D000000
3377,Lotek-D000163
3000,Lotek-D000360
2373,Lotek-D000426
2232,Lotek-D000427
2281,Lotek-D000438
2370,LOTEK-D000439
2367,LOTEK-D000440
2374,LOTEK-D000441
2379,LOTEK-D000442
2126,Lotek-D000452
2123,Lotek-D000453
2128,Lotek-D000454
2122,Lotek-D000455
2124,Lotek-D000456
2125,Lotek-D000457
2120,Lotek-D000458
2129,Lotek-D000459
2121,Lotek-D000460
2119,Lotek-D000461
2127,Lotek-D000462
2610,Lotek-D000465
3329,Lotek-D000472
3385,Lotek-D000472
2298,Lotek-D000473
2603,Lotek-D000516
2731,Lotek-D000517
2809,Lotek-D000521
2738,Lotek-D000539
2670,Lotek-D000542
2781,Lotek-D000543
2737,Lotek-D000544
3001,Lotek-D000546
3666,Lotek-D000546
2739,Lotek-D000549
2805,Lotek-D000553
2806,Lotek-D000555
3386,Lotek-D000592
3388,Lotek-D000592
2513,Lotek-D000593
2506,Lotek-D000594
2510,Lotek-D000595
2504,Lotek-D000597
2507,Lotek-D000598
2509,Lotek-D000601
2505,Lotek-D000602
2508,Lotek-D000604
2512,Lotek-D000605
2511,Lotek-D000606
3810,Lotek-D000617
2419,Lotek-D000635
2582,Lotek-D000704
3411,Lotek-D000704
2583,Lotek-D000705
2584,Lotek-D000706
3572,Lotek-D000706
2978,Lotek-D000718
2977,Lotek-D000719
3196,Lotek-D000729
3328,Lotek-D000729
3199,Lotek-D000730
3320,Lotek-D000730
3197,Lotek-D000731
3327,Lotek-D000731
3193,Lotek-D000733
2830,Lotek-D000739
3248,Lotek-D000793
3746,Lotek-D000793
3427,Lotek-D000806
3426,Lotek-D000807
3558,Lotek-D000887
3705,Lotek-D000887
3559,Lotek-D000888
3707,Lotek-D000888
3557,Lotek-D000889
3708,Lotek-D000889
3560,Lotek-D000890
3706,Lotek-D000890
3579,Lotek-D000891
3596,Lotek-D000892
3731,Lotek-D000892
4006,Lotek-D000945
3863,Lotek-D001015
3862,Lotek-D001082
3545,Lotek-D123456
1672,R2D2
3314,SG-0044RPI31985
3844,SG-00A4RPI31CB9
3102,SG-0123RPI3EE73
2915,SG-01E6RPI35B80
3334,SG-034ERPI3ABF4
3435,SG-034ERPI3ABF4
3361,SG-0366RPI361E9
3588,SG-0366RPI361E9
3888,SG-03CDRPI3BE4D
3464,SG-0402RPI32799
1485,SG-0414BBBK0236
1795,SG-0414BBBK0236
