"id","english","french","scientific","code","group","sort"
10370,"Black-backed Woodpecker","Pic à dos noir","Picoides arcticus",NA,"BIRDS",6111
3570,"American Kestrel","Crécerelle d'Amérique","Falco sparverius",NA,"BIRDS",6462
3580,"Merlin","Faucon émerillon","Falco columbarius",NA,"BIRDS",6483
45581,"Peregrine Falcon","Faucon pèlerin","Falco peregrinus",NA,"BIRDS",6507
34797,"Andean Cock-of-the-rock","Coq-de-roche péruvien","Rupicola peruvianus",NA,"BIRDS",8402
12160,"Alder Flycatcher","Moucherolle des aulnes","Empidonax alnorum",NA,"BIRDS",8928
12170,"Willow Flycatcher","Moucherolle des saules","Empidonax traillii",NA,"BIRDS",8929
12190,"Least Flycatcher","Moucherolle tchébec","Empidonax minimus",NA,"BIRDS",8935
12200,"Hammond's Flycatcher","Moucherolle de Hammond","Empidonax hammondii",NA,"BIRDS",8936
12220,"Dusky Flycatcher","Moucherolle sombre","Empidonax oberholseri",NA,"BIRDS",8938
12310,"Say's Phoebe","Moucherolle à ventre roux","Sayornis saya",NA,"BIRDS",8955
13240,"White-eyed Vireo","Viréo aux yeux blancs","Vireo griseus",NA,"BIRDS",9883
13380,"Yellow-throated Vireo","Viréo à gorge jaune","Vireo flavifrons",NA,"BIRDS",9910
13460,"Warbling Vireo","Viréo mélodieux","Vireo gilvus",NA,"BIRDS",9925
41384,"Red-eyed Vireo","Viréo aux yeux rouges","Vireo olivaceus",NA,"BIRDS",9930
13210,"Loggerhead Shrike","Pie-grièche migratrice","Lanius ludovicianus",NA,"BIRDS",10764
13640,"Blue Jay","Geai bleu","Cyanocitta cristata",NA,"BIRDS",10862
14280,"Black-capped Chickadee","Mésange à tête noire","Poecile atricapillus",NA,"BIRDS",11181
14320,"Boreal Chickadee","Mésange à tête brune","Poecile hudsonicus",NA,"BIRDS",11191
14040,"Horned Lark","Alouette hausse-col","Eremophila alpestris",NA,"BIRDS",11359
14030,"Eurasian Skylark","Alouette des champs","Alauda arvensis",NA,"BIRDS",11416
36307,"Eastern Olivaceous Warbler","Hypolaïs pâle","Iduna pallida",NA,"BIRDS",11723
36308,"Western Olivaceous Warbler","Hypolaïs obscure","Iduna opaca",NA,"BIRDS",11724
36311,"Melodious Warbler","Hypolaïs polyglotte","Hippolais polyglotta",NA,"BIRDS",11731
36271,"Sedge Warbler","Phragmite des joncs","Acrocephalus schoenobaenus",NA,"BIRDS",11739
46507,"Eurasian Reed Warbler","Rousserolle effarvatte","Acrocephalus scirpaceus",NA,"BIRDS",11749
14050,"Purple Martin","Hirondelle noire","Progne subis",NA,"BIRDS",11941
14120,"Tree Swallow","Hirondelle bicolore","Tachycineta bicolor",NA,"BIRDS",11959
35407,"Bank Swallow","Hirondelle de rivage","Riparia riparia",NA,"BIRDS",11978
14250,"Barn Swallow","Hirondelle rustique","Hirundo rustica",NA,"BIRDS",11995
14230,"Cliff Swallow","Hirondelle à front blanc","Petrochelidon pyrrhonota",NA,"BIRDS",12044
15050,"Yellow-browed Warbler","Pouillot à grands sourcils","Phylloscopus inornatus",NA,"BIRDS",12334
