speciesID,scientific,english,french,code,sort,photo,group
10030,Melanerpes lewis,Lewis's Woodpecker,Pic de Lewis,lewwoo,5807,NULL,BIRDS
10220,Sphyrapicus varius,Yellow-bellied Sapsucker,Pic maculé,yebsap,5794,NULL,BIRDS
10370,Picoides arcticus,Black-backed Woodpecker,Pic à dos noir,bkbwoo,5847,NULL,BIRDS
12150,Empidonax alnorum/traillii,Alder/Willow Flycatcher (Traill's Flycatcher),Moucherolle des aulnes ou M. des saules,y00324,8555,NULL,BIRDS
12160,Empidonax alnorum,Alder Flycatcher,Moucherolle des aulnes,aldfly,8550,NULL,BIRDS
12170,Empidonax traillii,Willow Flycatcher,Moucherolle des saules,wilfly,8551,NULL,BIRDS
12190,Empidonax minimus,Least Flycatcher,Moucherolle tchébec,leafly,8557,NULL,BIRDS
12200,Empidonax hammondii,Hammond's Flycatcher,Moucherolle de Hammond,hamfly,8558,NULL,BIRDS
12220,Empidonax oberholseri,Dusky Flycatcher,Moucherolle sombre,dusfly,8560,NULL,BIRDS
12310,Sayornis saya,Say's Phoebe,Moucherolle à ventre roux,saypho,8577,NULL,BIRDS
13210,Lanius ludovicianus,Loggerhead Shrike,Pie-grièche migratrice,logshr,10315,NULL,BIRDS
13240,Vireo griseus,White-eyed Vireo,Viréo aux yeux blancs,whevir,9474,NULL,BIRDS
13380,Vireo flavifrons,Yellow-throated Vireo,Viréo à gorge jaune,yetvir,9497,NULL,BIRDS
13420,Vireo solitarius,Blue-headed Vireo,Viréo à tête bleue,buhvir,9503,NULL,BIRDS
13460,Vireo gilvus,Warbling Vireo,Viréo mélodieux,warvir,9514,NULL,BIRDS
13640,Cyanocitta cristata,Blue Jay,Geai bleu,blujay,10408,NULL,BIRDS
14040,Eremophila alpestris,Horned Lark,Alouette hausse-col,horlar,10884,NULL,BIRDS
14050,Progne subis,Purple Martin,Hirondelle noire,purmar,11445,NULL,BIRDS
14120,Tachycineta bicolor,Tree Swallow,Hirondelle bicolore,treswa,11464,NULL,BIRDS
14230,Petrochelidon pyrrhonota,Cliff Swallow,Hirondelle à front blanc,cliswa,11546,NULL,BIRDS
14250,Hirundo rustica,Barn Swallow,Hirondelle rustique,barswa,11499,NULL,BIRDS
14280,Poecile atricapillus,Black-capped Chickadee,Mésange à tête noire,bkcchi,10715,NULL,BIRDS
