"motusTagID","tagDeployID","lat1","lon1","lat2","lon2","dtStart","dtEnd"
25761,15588,40.135,-79.2854,4.36459,-74.51644,2017-04-21,2017-04-22
25761,15588,4.36459,-74.51644,44.0241,-79.5371,2017-04-26,2017-04-26
25761,15588,44.0241,-79.5371,4.36459,-74.51644,2017-04-26,2017-04-26
25761,15588,4.36459,-74.51644,44.0241,-79.5371,2017-04-26,2017-04-26
25761,15588,44.0241,-79.5371,4.36459,-74.51644,2017-04-26,2017-04-26
25761,15588,4.36459,-74.51644,44.0241,-79.5371,2017-04-26,2017-04-26
25761,15588,44.0241,-79.5371,4.36459,-74.51644,2017-04-26,2017-04-26
25761,15588,4.36459,-74.51644,44.0241,-79.5371,2017-04-26,2017-04-26
25761,15588,44.0241,-79.5371,4.36459,-74.51644,2017-04-26,2017-04-26
25761,15588,4.36459,-74.51644,29.1623,-95.8254,2017-05-01,2017-05-04
25761,15588,29.1623,-95.8254,4.36459,-74.51644,2017-05-04,2017-05-04
25761,15588,4.36459,-74.51644,44.0241,-79.5371,2017-06-06,2017-06-07
25761,15588,44.0241,-79.5371,48.6177,-69.0994,2017-06-07,2017-06-11
25761,15588,48.6177,-69.0994,44.0241,-79.5371,2017-06-11,2017-06-13
25761,15588,44.0241,-79.5371,4.36459,-74.51644,2017-06-13,2017-06-16
25761,15588,4.36459,-74.51644,44.0241,-79.5371,2017-06-18,2017-06-27
25761,15588,44.0241,-79.5371,44.4834,-64.1071,2017-07-09,2017-07-10
25761,15588,44.4834,-64.1071,NA,NA,2017-07-10,2017-07-12
25761,15588,NA,NA,44.0241,-79.5371,2017-07-12,2017-07-17
25761,15588,44.0241,-79.5371,40.3201,-75.9026,2017-07-28,2017-07-29
25761,15588,40.3201,-75.9026,44.0241,-79.5371,2017-07-29,2017-07-31
25761,15588,44.0241,-79.5371,44.765,-66.7366,2017-08-01,2017-08-01
25761,15588,44.765,-66.7366,40.2765,-77.2774,2017-08-01,2017-08-05
25761,15588,40.2765,-77.2774,41.7859,-79.9504,2017-08-05,2017-08-05
25761,15588,43.4564,-65.7436,44.0241,-79.5371,2017-08-27,2017-09-02
25761,15588,44.0241,-79.5371,9.403,-79.8607,2017-09-17,2017-10-19
25761,15588,9.403,-79.8607,40.3201,-75.9026,2017-10-19,2017-10-29
25761,15588,40.3201,-75.9026,44.0241,-79.5371,2017-10-29,2017-11-11
25761,15588,44.0241,-79.5371,40.3201,-75.9026,2017-11-12,2017-11-13
25761,15588,40.3201,-75.9026,44.0241,-79.5371,2017-11-13,2017-11-26
25761,15588,44.0241,-79.5371,48.1406,-69.719,2017-12-09,2017-12-13
25761,15588,48.1406,-69.719,44.0241,-79.5371,2017-12-13,2017-12-14
25761,15588,44.0241,-79.5371,48.1406,-69.719,2017-12-14,2017-12-15
26444,13735,43.4082,-66.0209,43.7952,-66.1556,2017-08-23,2017-08-23
26444,13735,43.7952,-66.1556,44.7219,-65.5425,2017-08-23,2017-08-27
26444,13735,44.7219,-65.5425,44.9058,-65.3509,2017-08-27,2017-08-27
26444,13735,44.9058,-65.3509,45.0051,-65.1185,2017-08-28,2017-08-28
26444,13735,45.0051,-65.1185,45.1449,-64.7439,2017-09-03,2017-09-05
26444,13735,45.1449,-64.7439,45.207,-64.3978,2017-09-05,2017-09-06
