deploymentID,port,frequency,type,true_bearing,height,angle
5388,1,166.38,yagi-9-laird,NULL,7,NULL
5388,2,166.38,yagi-9-laird,NULL,6.8,NULL
5388,3,166.38,yagi-9-laird,NULL,6,NULL
5389,1,166.38,yagi-9-laird,352.5432,9,NULL
5389,2,166.38,yagi-9-laird,82.54321,9,NULL
5390,1,166.38,custom-9,217.6777,9,NULL
5390,2,166.38,custom-9,37.67765,9,NULL
5391,1,166.38,yagi-9,217.6728,9,NULL
5391,2,166.38,yagi-9,37.67279,9,NULL
5393,1,151.50,yagi-8,166.7025,3,NULL
5394,1,151.50,omni-whip,NULL,6,NULL
5395,1,166.38,monopole,NULL,7,90
5396,2,166.38,omni-whip,NULL,NULL,NULL
5397,2,166.38,omni-whip,NULL,NULL,NULL
5398,1,166.38,yagi-9,3.413179,8,NULL
5398,2,166.38,yagi-9-laird,51.41318,7.6,NULL
5398,3,166.38,j-pole,NULL,8.8,NULL
5398,4,166.38,yagi-9-laird,264.4132,8.5,NULL
5399,3,166.38,omni-whip,NULL,NULL,NULL
5400,2,166.38,omni-whip,NULL,NULL,NULL
5401,1,166.38,yagi-6,NULL,NULL,NULL
5402,2,166.38,omni-whip,NULL,NULL,NULL
5403,3,166.38,omni-whip,NULL,NULL,NULL
5404,1,166.38,yagi-9-maple,179.3463,5,90
5404,2,166.38,yagi-9-maple,49.34635,5.5,90
5404,3,166.38,yagi-9-maple,249.3463,6,90
5405,1,151.50,monopole,NULL,5.3,NULL
5406,1,151.50,monopole,NULL,5.3,NULL
5407,1,166.38,yagi-9-laird,99.31751,5,90
5407,2,166.38,yagi-9-laird,359.3175,5.5,90
5407,3,166.38,yagi-9-laird,229.3175,6,90
5408,1,166.38,yagi-9-laird,189.7027,NULL,90
5408,2,166.38,yagi-9-laird,309.7027,NULL,90
5408,3,166.38,yagi-9-laird,69.70273,NULL,90
5409,1,166.38,yagi-9-laird,344.5504,5,90
5409,2,166.38,yagi-9-laird,59.5504,5.5,90
5409,3,166.38,yagi-9-maple,159.5504,6,90
5410,1,166.38,yagi-9-laird,259.9069,NULL,NULL
5410,2,166.38,yagi-9-laird,79.90685,NULL,NULL
5411,1,166.38,yagi-9-laird,223.4636,5,NULL
5411,2,166.38,yagi-9-laird,43.46357,4.8,NULL
5411,3,166.38,yagi-9-laird,333.4636,4.6,NULL
5207,1,166.38,yagi-9-laird,NULL,4,NULL
5207,2,166.38,yagi-9-laird,NULL,3.8,NULL
5412,4,166.38,yagi-9,255.7629,3,NULL
5413,1,166.38,omni-whip,NULL,NULL,NULL
