stationID,date
9776,2014-11-25 23:59:00.000
9781,2021-05-15 12:00:00.000
9815,2019-06-21 22:00:00.000
9822,2017-10-03 19:43:42.000
9823,2017-04-15 00:00:00.000
9824,2019-11-13 15:40:05.717
9825,2015-12-02 00:00:00.000
9826,2018-04-17 23:59:00.000
9827,2020-04-29 08:41:07.573
9828,2021-09-15 20:53:46.737
9829,2014-03-13 23:59:00.000
9830,2022-04-28 00:00:00.000
9831,2018-05-08 23:59:00.000
9832,2020-05-20 10:59:26.193
9833,2022-05-21 07:52:55.063
9834,2020-11-05 13:00:00.000
9835,2015-01-08 11:08:33.693
9836,2022-05-21 07:04:10.000
9837,2022-04-25 17:52:45.870
9838,2022-04-05 11:17:44.270
9839,2019-05-26 06:14:20.963
9840,2019-05-26 16:02:14.950
9841,2021-03-20 14:35:20.897
9842,2019-08-30 13:41:21.220
9843,2022-05-21 07:54:08.217
9844,2022-05-15 23:49:07.567
9845,2022-05-16 01:40:32.540
9846,2021-06-14 10:00:00.000
9847,2017-11-08 12:25:34.553
9848,2022-05-21 07:06:11.000
9849,2018-11-13 11:42:00.000
9850,2021-05-11 00:38:55.067
9851,2018-09-20 13:26:36.940
9852,2021-05-12 13:52:07.373
9853,2021-05-24 00:00:00.000
9854,2021-06-14 00:00:00.000
9855,2021-06-06 00:00:00.000
9856,2018-10-18 23:59:00.000
9857,2022-04-26 19:51:10.677
9858,2022-05-19 16:09:53.440
9859,2022-04-29 20:25:16.850
9860,2021-07-29 13:41:30.983
9861,2022-05-21 07:44:11.867
9862,2018-09-18 23:59:00.000
9863,2018-09-18 23:59:00.000
9864,2018-09-18 23:59:00.000
9865,2018-09-19 23:59:00.000
9866,2021-12-14 09:21:15.213
9867,2021-12-20 14:35:03.657
9868,2018-08-22 06:20:58.000
9869,2018-10-10 03:22:33.653
9870,2018-11-14 02:36:59.587
9871,2018-10-31 23:59:00.000
9872,2022-05-21 07:56:11.463
9873,2021-01-18 13:22:34.607
9874,2022-05-21 08:08:46.817
9875,2021-09-20 20:24:34.000
9876,2022-05-16 00:57:38.000
9877,2022-05-21 08:19:17.257
9878,2018-11-13 16:00:00.000
9880,2018-11-11 08:00:00.000
9881,2018-11-10 12:00:00.000
9882,2018-11-09 22:08:19.277
9883,2018-11-10 04:00:00.000
9884,2018-11-10 04:00:00.000
9885,2018-09-06 14:07:25.940
9886,2019-06-07 15:25:14.250
9887,2018-11-16 13:46:18.620
9888,2018-12-14 06:34:53.180
9889,2022-04-05 19:42:18.513
9890,2022-05-15 21:35:38.677
9891,2019-01-15 09:02:33.123
9892,2021-12-22 19:41:15.460
9893,2022-01-03 21:47:33.677
9894,2022-05-10 00:12:47.443
9895,2018-10-20 23:59:00.000
9896,2018-05-15 23:59:00.000
9897,2019-02-14 21:38:41.323
9899,2022-05-21 08:29:07.183
9900,2020-01-19 00:00:00.000
9901,2020-01-15 16:45:32.850
9902,2022-05-21 05:11:24.833
9903,2022-04-19 13:20:25.000
9904,2021-10-26 20:03:24.407
9905,2015-06-08 13:30:00.000
9906,2014-08-07 00:00:00.000
9907,2021-10-20 17:50:05.567
9908,2016-06-28 23:59:00.000
9909,2016-04-29 08:40:00.000
9910,2016-04-29 15:43:00.000
9911,2017-10-03 14:00:00.000
9912,2022-05-21 06:46:40.657
9913,2022-02-06 14:55:41.960
9914,2016-05-19 00:00:00.000
9915,2022-05-21 08:24:52.000
9916,2019-02-07 07:00:00.000
9917,2020-07-30 05:06:00.000
9918,2020-09-02 21:15:21.690
9919,2019-04-05 15:57:17.153
9920,2022-05-10 16:30:22.000
9921,2021-04-28 06:32:17.467
9922,2017-08-18 18:14:50.750
9923,2019-12-16 00:23:42.760
9924,2019-04-26 13:16:36.107
9925,2019-03-18 17:00:00.000
9926,2022-05-10 18:43:07.673
9927,2022-04-15 15:00:40.290
9928,2019-03-29 17:00:00.000
9929,2019-03-29 17:00:00.000
9930,2019-06-27 12:30:00.000
9931,2019-03-29 17:00:00.000
9932,2019-03-29 23:59:00.000
9933,2020-06-22 18:44:30.680
9934,2021-09-17 08:45:42.323
9935,2020-03-09 23:09:03.557
9936,2021-09-16 19:00:06.000
9937,2020-02-04 07:55:12.000
9938,2022-05-21 07:43:03.327
9939,2021-05-12 22:38:02.907
9940,2019-06-22 22:00:00.000
9941,2019-01-23 08:30:55.847
9942,2020-08-28 23:59:00.000
9943,2019-05-07 19:46:14.000
9944,2019-05-11 12:00:00.000
9945,2022-05-21 09:07:43.253
9946,2021-08-03 17:00:00.000
9947,2021-03-28 19:31:19.000
9948,2022-05-21 07:58:56.497
9949,2022-05-11 21:51:37.367
9950,2022-05-21 07:58:42.540
9951,2019-05-09 23:59:00.000
9952,2020-02-05 04:44:44.000
9953,2020-02-04 07:15:09.000
9954,2021-09-01 23:09:30.313
9955,2022-01-28 15:44:59.520
9956,2019-05-06 12:00:00.000
9957,2019-05-11 12:00:00.000
9958,2019-10-02 22:00:00.000
9959,2022-05-21 09:10:37.000
9960,2022-05-21 07:10:16.243
9961,2019-09-21 17:51:03.330
9962,2021-10-26 18:31:36.107
9963,2019-09-17 17:00:00.000
9964,2019-09-18 13:00:00.000
9965,2019-09-17 18:00:00.000
9966,2019-06-18 10:54:17.000
9967,2019-05-16 20:53:00.000
9968,2019-05-16 14:50:00.000
9969,2019-05-17 07:25:00.000
9970,2019-05-17 08:36:00.000
9971,2019-11-23 00:00:00.000
9972,2021-10-22 20:25:59.480
9973,2019-09-07 21:18:08.573
9974,2021-01-02 02:55:19.187
9975,2022-05-21 07:34:09.773
9976,2019-08-07 12:00:00.000
9977,2021-10-24 00:55:49.000
9978,2019-08-07 18:00:00.000
9979,2019-07-08 06:10:00.000
9980,2019-07-08 07:30:00.000
9981,2022-04-22 15:04:22.320
9983,2019-08-06 17:40:39.793
9984,2019-09-28 00:05:23.243
9985,2022-03-11 14:48:58.477
9986,2021-07-09 23:08:05.280
9987,2022-02-02 14:20:12.627
9988,2022-03-14 03:34:49.467
9989,2022-03-13 19:17:59.000
9990,2021-12-23 10:17:09.000
9991,2022-03-09 21:17:48.837
9992,2022-03-13 17:37:53.153
9994,2022-05-21 09:51:48.220
9995,2019-08-23 23:59:00.000
9996,2022-04-12 19:16:17.000
9997,2019-09-21 07:16:40.000
9998,2022-04-28 16:40:00.000
9999,2022-05-21 07:37:04.293
10000,2015-09-29 23:59:00.000
10001,2016-12-07 00:00:00.000
10002,2022-05-18 11:34:17.300
10003,2022-05-21 09:08:27.973
10004,2022-01-14 11:27:00.813
10005,2020-07-16 18:43:39.797
10006,2017-11-01 10:02:15.010
10007,2018-04-26 23:59:00.000
10008,2016-06-15 13:43:00.000
10009,2022-05-21 08:57:57.163
10010,2019-11-20 10:30:00.000
10011,2021-04-02 19:17:34.720
10012,2019-12-10 13:02:12.043
10013,2022-04-26 15:33:48.000
10014,2022-01-15 04:14:59.583
10015,2019-12-12 00:07:36.743
10016,2020-02-19 20:31:43.243
10017,2020-02-21 16:30:00.000
10018,2020-02-06 08:07:54.000
10019,2020-01-11 08:30:00.000
10020,2019-09-10 14:00:00.000
10021,2021-09-06 16:44:45.487
10022,2021-08-18 20:33:30.940
10023,2020-01-15 10:00:00.000
10024,2022-03-09 22:46:16.000
10025,2019-09-10 14:00:00.000
10026,2020-03-10 20:19:07.000
10027,2021-03-05 02:44:20.677
10028,2021-11-18 00:21:09.000
10029,2022-05-21 06:25:21.000
10030,2021-06-14 00:42:00.453
10031,2022-03-09 17:25:58.000
10032,2019-09-18 14:34:53.000
10033,2019-09-19 12:00:00.000
10035,2021-09-21 19:41:30.873
10036,2021-11-07 20:11:04.357
10037,2022-01-25 10:03:17.000
10038,2021-11-02 16:55:29.603
10039,2021-10-30 09:43:54.000
10040,2022-05-21 07:27:44.543
10041,2022-05-21 09:02:50.720
10042,2022-02-02 16:28:05.530
10043,2022-05-17 17:57:59.720
10044,2022-05-15 10:14:07.977
10045,2022-05-21 07:11:25.310
10046,2022-05-12 17:17:57.000
10047,2019-11-06 16:42:00.000
10048,2022-05-21 09:47:26.000
10049,2019-10-21 21:00:00.000
10050,2022-05-15 16:09:48.000
10051,2022-05-04 16:50:29.000
10052,2021-11-20 20:12:53.000
10053,2019-11-04 13:00:20.317
10054,2019-11-26 18:00:00.000
10055,2019-11-30 12:00:00.000
10056,2019-12-01 23:59:00.000
10057,2020-01-02 18:15:00.000
10058,2020-03-01 21:26:58.387
10059,2020-05-16 14:39:02.000
10060,2022-02-27 16:15:47.717
10061,2020-12-12 08:58:44.453
10062,2021-08-01 02:58:08.973
10063,2021-06-11 04:45:57.927
10064,2022-05-21 07:06:57.000
10065,2022-03-06 16:32:51.807
10066,2021-11-28 14:33:29.000
10067,2022-04-06 17:26:44.293
10068,2020-10-28 23:58:46.707
10069,2020-10-11 23:38:16.643
10070,2019-11-06 02:23:18.697
10071,2022-04-22 14:52:34.000
10072,2021-11-13 14:26:13.000
10073,2020-07-25 23:59:00.000
10074,2020-02-20 23:59:00.000
10075,2019-11-01 17:50:05.943
10076,2019-10-04 23:59:00.000
10077,2022-05-16 00:44:12.000
10078,2022-04-12 20:02:22.757
10079,2022-05-04 13:48:38.000
10080,2020-10-28 04:20:27.547
10081,2022-05-21 09:09:37.607
10082,2020-01-20 14:00:00.000
10083,2021-12-04 10:54:14.000
10084,2021-07-31 15:29:00.000
10085,2021-11-30 00:18:48.957
10086,2021-11-30 00:04:13.000
10087,2021-12-15 11:36:27.000
10088,2021-09-23 13:09:02.707
10089,2020-11-08 13:18:12.273
10090,2020-08-26 10:04:04.000
10091,2022-05-21 06:25:20.483
10092,2020-07-25 20:01:47.153
10093,2021-07-20 02:46:40.557
10094,2021-10-09 15:07:23.830
10095,2021-11-07 17:18:35.863
10096,2022-05-21 08:10:14.043
10097,2021-09-07 17:00:00.000
10098,2020-08-03 15:55:00.000
10099,2021-07-12 14:34:21.000
10100,2015-11-03 19:20:00.000
10101,2016-08-04 21:07:01.060
10102,2019-12-04 19:00:00.000
10103,2016-07-07 17:17:21.133
10104,2015-11-09 00:00:00.000
10105,2016-10-26 00:00:00.000
10106,2016-10-26 00:00:00.000
10107,2016-10-26 00:00:00.000
10108,2018-03-29 15:41:28.240
10109,2018-10-31 23:59:00.000
10110,2020-10-19 13:00:06.927
10112,2017-07-27 13:59:09.943
10113,2014-05-12 00:40:00.000
10114,2015-10-27 03:00:00.000
10115,2014-07-18 12:00:00.000
10116,2014-07-30 13:50:00.000
10117,2014-08-23 08:33:05.530
10118,2013-10-31 13:54:00.000
10119,2013-11-02 19:08:00.000
10120,2013-11-05 18:05:00.000
10121,2014-10-28 14:00:00.000
10122,2015-10-13 04:00:00.000
10123,2014-09-08 23:59:00.000
10124,2015-10-21 04:00:00.000
10125,2014-10-31 15:00:00.000
10126,2014-10-29 00:00:00.000
10127,2013-10-23 05:47:00.000
10128,2020-07-01 23:59:00.000
10129,2020-07-08 21:53:45.123
