"projID","tagID","deployID","status","species","dtStart","dtEnd","lat","lon","frequency","model","manufacturer"
3,35117,23025,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35118,23026,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35119,23027,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35120,23028,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35121,23029,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35122,23030,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35123,23031,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35124,23032,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35125,23033,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35126,23034,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35127,23035,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35128,23036,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35129,23037,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35130,23038,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35131,23039,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35132,23040,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35133,23041,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35134,23042,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35135,23043,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35136,23044,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35137,23045,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35138,23046,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35139,23047,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
3,35140,23048,"active",4690,2019-07-15,2020-06-10,NA,NA,166.38,"NTQB2-3-2","Lotek"
